faction,rank,kind,detachments,dp_cost,score_prudent,score_central,score_favorable,primary,secondary,inventory,rule_stratagem,enhancement,flexibility,interpretation_coverage_pct,evidence_confidence_pct,inference_share_pct,conditionality_pct,inference_count,unsupported_count
Space Marines,56,combination,FORGEFATHER’S SEEKERS + LIBRARIUS CONCLAVE,3,79.02,87.84,88.87,99.39,98.96,92.67,57.45,84.81,94.31,88.24,85.19,10.04,33.23,27,2
Space Marines,57,combination,BASTION TASK FORCE + FULGURIS TASK FORCE,3,81.31,87.48,88.79,98.71,95.99,98.51,78.65,33.1,100,76.47,77,7.05,32.89,20,4
Space Marines,58,single,SUBVERSION ASSETS,1,80.85,87.35,88.49,98.28,95.6,89.5,80.26,60.14,76.48,16.67,80,7.44,18.75,10,5
Space Marines,59,combination,EMPEROR’S SHIELD + FULGURIS TASK FORCE,3,81.07,87.33,88.42,99.74,95.54,99.08,76.93,34.8,96.31,82.35,77.14,7.17,37.45,21,3
Space Marines,60,combination,FULGURIS TASK FORCE + ORBITAL ASSAULT FORCE,3,81.94,87.13,88.12,97.26,93.55,97.31,74.37,51.36,96.31,70.59,76.84,5.96,34.05,19,5
Space Marines,61,combination,LIBRARIUS CONCLAVE + SUBVERSION ASSETS + VENGEFUL HOSTS,3,78.75,87.12,87.58,100,100,92.93,61.19,67.35,91.17,50,80,9.61,27.35,30,9
Space Marines,62,combination,1ST COMPANY TASK FORCE + FULGURIS TASK FORCE,3,81.09,87.03,88.27,100,96.11,98.35,77.15,30.55,96.91,76.47,77,6.83,40.92,20,4
Space Marines,63,single,VANGUARD SPEARHEAD,2,80.79,86.89,88.19,99.18,94.91,98.15,58.49,70.61,98.71,72.73,76,7.02,38.71,15,3
Space Marines,64,combination,LIBRARIUS CONCLAVE + RECLAMATION FORCE,3,78.85,86.78,87.63,100,98.87,92.66,52.42,83.32,94.31,76.47,77.6,9.14,34.82,25,4
Space Marines,65,single,SHADOWMARK TALON,2,80.88,86.36,87.6,98.18,94.97,97.38,56.1,74.71,96.31,81.82,76.25,6.35,39.03,16,2
Space Marines,66,combination,FULGURIS TASK FORCE + SUBVERSION ASSETS,2,79.19,86.2,87.01,100,96.66,94.46,77.33,32.47,88.6,41.67,77.14,8.13,25.1,21,7
Space Marines,67,combination,IRONSTORM SPEARHEAD + LIBRARIUS CONCLAVE,3,78.05,86.11,86.83,100,98.54,92.58,53.7,74.99,94.31,82.35,77.69,9.36,32.67,26,3
Space Marines,68,combination,FULGURIS TASK FORCE + VENGEFUL HOSTS,2,81.27,86.1,87.23,97.53,93.8,97.04,75.6,38.66,94.91,58.33,80,5.61,31.83,14,5
Space Marines,69,combination,LIBRARIUS CONCLAVE + ORBITAL ASSAULT FORCE,3,77.59,85.86,87.06,98.9,98.32,92.53,50.3,82.21,94.31,76.47,77.6,9.63,33.66,25,4
Space Marines,70,combination,HAMMER OF AVERNII + LIBRARIUS CONCLAVE,3,77.21,85.77,86.5,100,100,92.82,51.77,71.95,93.11,88.24,77.78,9.98,38.23,27,2
Space Marines,71,combination,FIRESTORM ASSAULT FORCE + LIBRARIUS CONCLAVE,3,77,85.73,86.74,96.21,98.54,92.58,54.13,77.92,94.31,94.12,85.71,10.18,34.93,28,1
Space Marines,72,combination,FULGURIS TASK FORCE + HEADHUNTER TASK FORCE,3,80.32,85.64,86.39,99.49,94.28,97.31,66.99,45.12,95.91,70.59,76.84,6.21,33.07,19,5
Space Marines,73,combination,ANVIL SIEGE FORCE + LIBRARIUS CONCLAVE,3,77.45,85.55,86.48,100,99.11,92.67,53.23,68.98,93.91,88.24,77.78,9.47,38.25,27,2
Space Marines,74,combination,LIBRARIUS CONCLAVE + SPEARPOINT TASK FORCE,3,77.04,85.43,86.03,100,99.71,92.84,46.01,80.15,94.31,94.12,77.86,9.82,33.63,28,1
Space Marines,75,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE + VENGEFUL HOSTS,3,77.38,85.38,86.13,100,99.17,95.59,59.18,47.17,98.31,66.67,80,9.37,31.57,24,6
Space Marines,76,combination,LIBRARIUS CONCLAVE + VENGEFUL HOSTS,2,76.87,85.26,86.05,100,99.17,92.58,51.55,69.37,94.11,66.67,80,9.84,32.05,20,4
Space Marines,77,combination,BASTION TASK FORCE + LIBRARIUS CONCLAVE,3,76.96,85.25,86.05,100,98.87,92.64,54.57,63.7,94.31,82.35,77.69,9.72,32.8,26,3
Space Marines,78,combination,FULGURIS TASK FORCE + VANGUARD SPEARHEAD,3,79.41,85.21,86.31,99.9,94.91,98.15,66.33,36.71,98.71,70.59,76.84,6.81,37.02,19,5
Space Marines,79,combination,EMPEROR’S SHIELD + LIBRARIUS CONCLAVE,3,76.77,85.08,86.06,99.93,99.11,92.6,52.81,65.75,93.11,88.24,77.78,9.77,36.38,27,2
Space Marines,80,combination,1ST COMPANY TASK FORCE + LIBRARIUS CONCLAVE,3,76.77,85.05,85.83,100,99.96,92.69,53.05,61.66,94.91,82.35,77.69,9.74,39.05,26,3
Space Marines,81,combination,FULGURIS TASK FORCE + SHADOWMARK TALON,3,79.44,84.86,85.74,99.47,94.99,97.46,64.98,38.76,97.11,76.47,77,6.39,37.33,20,4
Space Marines,82,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE + SUBVERSION ASSETS,3,75.93,84.54,84.99,100,99.96,92.89,60.35,43.45,91.17,55.56,78.06,10.18,26.96,31,8
Space Marines,83,combination,HEADHUNTER TASK FORCE + LIBRARIUS CONCLAVE,3,75.87,83.96,84.68,99.97,98.54,92.57,42.91,75.2,94.31,76.47,77.6,9.64,32.93,25,4
Space Marines,84,combination,LIBRARIUS CONCLAVE + SUBVERSION ASSETS,2,74.88,83.78,84.28,100,99.48,88.29,53.41,63.89,83.6,50,80,10.62,24.56,20,6
Space Marines,85,combination,LIBRARIUS CONCLAVE + VANGUARD SPEARHEAD,3,74.97,83.23,84.04,100,99.04,92.69,42.29,67.59,94.31,76.47,77.6,9.92,35.89,25,4
Space Marines,86,combination,LIBRARIUS CONCLAVE + SHADOWMARK TALON,3,75.09,83.22,83.96,100,99.21,92.71,40.98,69.64,94.31,82.35,77.69,9.77,36.14,26,3
Space Marines,87,single,FULGURIS TASK FORCE,1,76.83,81.12,82.36,94.89,92.13,96.47,74.39,2.4,93.91,66.67,74.55,5.29,31.46,11,2
Space Marines,88,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE,2,72.8,81.05,81.96,99.69,97.99,92.42,50.31,33.74,93.91,75,77.14,10.18,31.33,21,3
Space Marines,89,single,LIBRARIUS CONCLAVE,1,68.25,75.41,77,95.34,96.49,82.5,26.36,64.82,79.31,83.33,80,9.49,31.19,10,1
Salamanders,1,single,FORGEFATHER’S SEEKERS,2,89.27,96.79,98.21,98.25,97.88,100,88.37,100,100,90.91,88.24,7.77,34.2,17,1
Salamanders,2,combination,FORGEFATHER’S SEEKERS + VENGEFUL HOSTS,3,87.28,95.04,96.22,98.93,98.79,100,82.67,90.21,100,76.47,90,8.16,34.1,20,4
Salamanders,3,combination,FORGEFATHER’S SEEKERS + SUBVERSION ASSETS,3,85.43,94.66,95.23,99.94,100,97.73,83.88,86,94.94,64.71,85.19,9.75,28.75,27,6
Salamanders,4,single,FIRESTORM ASSAULT FORCE,2,85.94,93.54,95.19,94.53,96.74,99.87,81.92,90.92,100,100,88.89,8.12,36.56,18,0
Salamanders,5,single,IRONSTORM SPEARHEAD,2,86.93,93.07,94.75,98.57,95.46,98.7,81.07,87.08,96.6,81.82,76.25,6.6,33.46,16,2
Salamanders,6,combination,FIRESTORM ASSAULT FORCE + VENGEFUL HOSTS,3,85.65,93.01,94.65,97.46,97.18,100,79.5,83.22,100,82.35,90.48,7.91,36.2,21,3
Salamanders,7,combination,FIRESTORM ASSAULT FORCE + SUBVERSION ASSETS,3,83.47,92.69,93.73,98.21,99.68,97.14,80.65,78.94,93.49,70.59,85.71,9.95,30.63,28,5
Salamanders,8,combination,IRONSTORM SPEARHEAD + VENGEFUL HOSTS,3,86.66,92.47,93.81,100,95.82,98.93,78.88,80.73,97.6,70.59,80,6.28,33.44,19,5
Salamanders,9,combination,ANVIL SIEGE FORCE + VENGEFUL HOSTS,3,85.95,92.13,93.51,100,97.08,99.54,78.34,73.35,98.88,76.47,80,6.71,40.73,20,4
Salamanders,10,combination,IRONSTORM SPEARHEAD + SUBVERSION ASSETS,3,84.58,92.03,93.39,100,98.42,96.13,80.23,76.06,90.89,58.82,77.69,8.1,27.86,26,7
Salamanders,11,combination,BASTION TASK FORCE + VENGEFUL HOSTS,3,85.59,91.87,92.85,100,97.03,99,79.7,68.72,100,70.59,80,6.84,33.64,19,5
Salamanders,12,single,ANVIL SIEGE FORCE,2,85.5,91.85,93.87,98.69,96.24,99.18,80.17,72.9,97.88,90.91,76.47,6.91,41.79,17,1
Salamanders,13,single,GLADIUS TASK FORCE,3,85.53,91.84,93.09,98.92,95.52,98.5,73.05,89.56,98.2,72.73,76,6.87,35.95,15,3
Salamanders,14,single,ORBITAL ASSAULT FORCE,2,86.31,91.68,92.73,95.93,93.42,97.66,74.36,99.2,96.2,72.73,76,5.86,35.14,15,3
Salamanders,15,combination,ANVIL SIEGE FORCE + SUBVERSION ASSETS,3,83.87,91.57,92.76,100,99.27,96.73,79.71,68.32,92.57,64.71,77.78,8.41,33.41,27,6
Salamanders,16,combination,ORBITAL ASSAULT FORCE + VENGEFUL HOSTS,3,86.19,91.47,92.31,99.02,94.12,97.79,75.44,86.75,96.2,64.71,80,5.77,34.88,18,6
Salamanders,17,combination,BASTION TASK FORCE + SUBVERSION ASSETS,3,83.3,91.34,92.07,100,99.24,96.29,81.1,64.16,92.69,58.82,77.69,8.8,27.9,26,7
Salamanders,18,combination,ORBITAL ASSAULT FORCE + SUBVERSION ASSETS,3,83.91,91.26,92.17,100,97,95.09,76.86,81.97,88.49,52.94,77.6,8.05,28.47,25,8
Salamanders,19,single,BASTION TASK FORCE,2,84.7,91.07,92.68,97.5,95.85,98.81,82.87,62.77,99.8,81.82,76.25,6.99,33.68,16,2
Salamanders,20,combination,FORGEFATHER’S SEEKERS + FULGURIS TASK FORCE,3,83.34,91.06,92.36,99.12,97.88,100,81.51,54.67,100,82.35,86.67,8.48,33.43,21,3
Salamanders,21,combination,1ST COMPANY TASK FORCE + VENGEFUL HOSTS,3,84.45,90.46,91.68,100,96.15,98.98,76.42,64.91,97,70.59,80,6.64,41.77,19,5
Salamanders,22,single,CERAMITE SENTINELS,3,84.01,90.45,91.34,99.93,95.86,98.07,71.91,75.76,98.6,90.91,76.47,7.12,35.61,17,1
Salamanders,23,combination,SUBVERSION ASSETS + VENGEFUL HOSTS,2,83.19,90.34,91.26,99.95,97.21,94.99,78.05,70.19,88.49,33.33,80,7.91,25.64,20,8
Salamanders,24,single,STORMLANCE TASK FORCE,3,83.29,89.87,91.34,98.62,95.41,99.37,61.79,90.64,100,90.91,76.47,7.32,32.82,17,1
Salamanders,25,combination,1ST COMPANY TASK FORCE + SUBVERSION ASSETS,3,82.61,89.86,91.22,100,98.14,96,77.78,59.94,91.49,58.82,77.69,8.07,34.17,26,7
Salamanders,26,combination,HEADHUNTER TASK FORCE + VENGEFUL HOSTS,3,84.2,89.65,90.55,99.47,94.7,97.81,68.05,81.13,96,64.71,80,6.08,33.84,18,6
Salamanders,27,single,VENGEFUL HOSTS,1,84.68,89.58,91.04,96.25,93.55,97.27,76.56,74.73,94,50,80,5.47,32.83,10,3
Salamanders,28,combination,HEADHUNTER TASK FORCE + SUBVERSION ASSETS,3,82.35,89.5,90.31,100,97.8,95.15,69.46,77.08,88.49,52.94,77.6,7.99,27.95,25,8
Salamanders,29,combination,VANGUARD SPEARHEAD + VENGEFUL HOSTS,3,83.27,89.32,90.36,99.77,95.92,98.77,67.35,72.35,98.6,64.71,80,6.77,37.93,18,6
Salamanders,30,single,ARMOURED SPEARTIP,3,83,89.3,90.26,99.95,94.73,98.04,62.07,87.98,96.2,100,76.67,7.05,39.89,18,0
Salamanders,31,single,1ST COMPANY TASK FORCE,2,83.07,89.26,90.65,99.64,95.86,98.63,76.22,55.94,96,81.82,76.25,6.93,42.98,16,2
Salamanders,32,combination,SUBVERSION ASSETS + VANGUARD SPEARHEAD,3,81.34,88.8,89.9,100,98.2,95.93,68.82,67.51,90.89,52.94,77.6,8.4,30.59,25,8
Salamanders,33,combination,FIRESTORM ASSAULT FORCE + FULGURIS TASK FORCE,3,81.37,88.72,90.3,95.65,96.74,99.87,78.33,47.69,100,88.24,87.27,8.28,35.55,22,2
Salamanders,34,combination,FULGURIS TASK FORCE + IRONSTORM SPEARHEAD,3,82.5,88.5,89.84,99.61,95.55,98.77,77.73,45.19,97.4,76.47,77,6.78,32.72,20,4
Salamanders,35,combination,FULGURIS TASK FORCE + SUBVERSION ASSETS + VENGEFUL HOSTS,3,81.61,88.31,89.16,99.99,97.21,96.49,76.93,47.24,92.06,44.44,80,7.59,26.02,24,10
Salamanders,36,combination,ANVIL SIEGE FORCE + FULGURIS TASK FORCE,3,81.79,88.04,89.67,99.71,96.38,99.25,77.22,37.7,98.68,82.35,77.14,7.1,39.9,21,3
Salamanders,37,single,HEADHUNTER TASK FORCE,2,82.45,87.99,89.04,97.81,94.14,97.58,59.62,87.02,95,72.73,76,6.3,33.92,15,3
Salamanders,38,combination,BASTION TASK FORCE + FULGURIS TASK FORCE,3,81.25,87.48,88.82,98.59,95.85,98.86,78.57,33.09,100,76.47,77,7.12,32.89,20,4
Salamanders,39,single,SUBVERSION ASSETS,1,80.75,87.28,88.42,98.05,95.48,89.85,79.48,61.14,76.38,16.67,80,7.48,18.75,10,5
Salamanders,40,combination,FULGURIS TASK FORCE + ORBITAL ASSAULT FORCE,3,81.86,87.08,88.08,97.04,93.42,97.66,74.3,51.1,96.2,70.59,76.84,5.99,34.05,19,5
Salamanders,41,single,VANGUARD SPEARHEAD,2,80.66,86.79,88.17,98.88,94.76,98.5,58.35,70.27,98.6,72.73,76,7.06,38.71,15,3
Salamanders,42,combination,1ST COMPANY TASK FORCE + FULGURIS TASK FORCE,3,80.54,86.57,87.81,100,96.01,98.7,75.28,29.27,96.8,76.47,77,6.97,40.92,20,4
Salamanders,43,combination,FULGURIS TASK FORCE + SUBVERSION ASSETS,2,79.11,86.19,87.01,100,96.52,94.81,76.9,32.97,88.49,41.67,77.14,8.21,25.1,21,7
Salamanders,44,combination,FULGURIS TASK FORCE + VENGEFUL HOSTS,2,81.18,86.04,87.19,97.3,93.67,97.39,75.43,38.57,94.8,58.33,80,5.65,31.83,14,5
Salamanders,45,combination,FULGURIS TASK FORCE + HEADHUNTER TASK FORCE,3,80.27,85.62,86.42,99.26,94.14,97.66,66.92,45.31,95.8,70.59,76.84,6.25,33.07,19,5
Salamanders,46,combination,LIBRARIUS CONCLAVE + SUBVERSION ASSETS + VENGEFUL HOSTS,3,77.13,85.61,86.08,100,100,90.28,57.57,65.4,89.95,50,80,9.91,27.42,29,9
Salamanders,47,combination,FORGEFATHER’S SEEKERS + LIBRARIUS CONCLAVE,3,76.65,85.54,86.62,99.21,98.95,88.52,52.46,81.42,92.54,88.24,85.38,10.39,33.49,26,2
Salamanders,48,combination,FULGURIS TASK FORCE + VANGUARD SPEARHEAD,3,79.3,85.2,86.31,99.88,94.76,98.5,66.23,36.54,98.6,70.59,76.84,6.92,37.02,19,5
Salamanders,49,combination,IRONSTORM SPEARHEAD + LIBRARIUS CONCLAVE,3,75.78,83.96,84.69,100,98.54,88.43,48.74,72.63,92.54,82.35,77.6,9.74,32.93,25,3
Salamanders,50,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE + VENGEFUL HOSTS,3,75.76,83.61,84.52,100,98.4,92.68,55.77,44.89,96.69,66.67,80,9.39,31.84,23,6
Salamanders,51,combination,FIRESTORM ASSAULT FORCE + LIBRARIUS CONCLAVE,3,74.65,83.44,84.47,95.93,98.54,88.43,49.26,74.56,92.54,94.12,85.93,10.53,35.22,27,1
Salamanders,52,combination,ANVIL SIEGE FORCE + LIBRARIUS CONCLAVE,3,75.06,83.29,84.23,100,99.1,88.52,48.22,65.56,92.14,88.24,77.69,9.88,38.69,26,2
Salamanders,53,combination,LIBRARIUS CONCLAVE + ORBITAL ASSAULT FORCE,3,75.22,83.19,84.48,98.2,97.55,88.12,45.32,78.63,92.14,76.47,77.5,9.58,33.98,24,4
Salamanders,54,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE + SUBVERSION ASSETS,3,74.32,83.05,83.5,100,99.96,90.24,56.79,41.57,89.95,55.56,78,10.51,27.01,30,8
Salamanders,55,combination,BASTION TASK FORCE + LIBRARIUS CONCLAVE,3,74.61,82.7,83.81,99.42,98.24,88.38,49.57,60.36,92.54,82.35,77.6,9.78,33.07,25,3
Salamanders,56,combination,LIBRARIUS CONCLAVE + VENGEFUL HOSTS,2,74.46,82.65,83.67,99.65,98.4,88.16,46.48,65.96,91.94,66.67,80,9.91,32.38,19,4
Salamanders,57,combination,1ST COMPANY TASK FORCE + LIBRARIUS CONCLAVE,3,73.93,82.3,83.11,100,99.96,88.52,46.27,57.06,92.94,82.35,77.6,10.17,39.51,25,3
Salamanders,58,combination,LIBRARIUS CONCLAVE + SUBVERSION ASSETS,2,72.5,81.52,82.02,100,99.47,84.14,48.12,61.07,81.83,50,80,11.06,24.53,19,6
Salamanders,59,combination,HEADHUNTER TASK FORCE + LIBRARIUS CONCLAVE,3,73.52,81.48,82.46,99.91,97.88,88.15,37.93,72.07,92.14,76.47,77.5,9.77,33.21,24,4
Salamanders,60,single,FULGURIS TASK FORCE,1,76.75,81.07,82.31,94.59,91.97,96.82,74.32,2.4,93.8,66.67,74.55,5.33,31.46,11,2
