faction,rank,kind,detachments,sources,dp_cost,chapter_lock,force_dispositions,score_total,score_primary,score_secondary,score_inventory,score_rule_stratagem,score_enhancement,score_flexibility,coverage_pct,confidence,supported,partial,unsupported
Space Marines,14,single,GLADIUS TASK FORCE,Space Marines,3,,PRIORITY ASSETS,85.62,88.6,87.94,94.43,69.8,85.07,91.31,32.73,low,0,6,5
Space Marines,15,single,ANVIL SIEGE FORCE,Space Marines,2,,TAKE AND HOLD,85.61,88.66,87.97,94.43,76.9,70.49,91.31,32.73,low,0,6,5
Space Marines,16,combination,FORGEFATHER’S SEEKERS + SUBVERSION ASSETS,Salamanders + Space Marines,3,Salamanders,DISRUPTION + PRIORITY ASSETS,85.53,86.98,88.66,89.93,80.05,79.38,80.6,53.64,medium,1,13,3
Space Marines,17,combination,HAMMER OF AVERNII + VENGEFUL HOSTS,Iron Hands + Space Marines,3,Iron Hands,PURGE THE FOE + TAKE AND HOLD,85.48,88.08,89.54,94.43,73.67,72.92,91.31,47.88,medium,1,12,4
Space Marines,18,combination,SPEARPOINT TASK FORCE + VENGEFUL HOSTS,White Scars + Space Marines,3,White Scars,DISRUPTION + TAKE AND HOLD,85.43,88.82,90.08,94.43,68.09,80.77,91.31,45.16,medium,1,11,5
Space Marines,19,single,HAMMER OF AVERNII,Iron Hands,2,Iron Hands,PURGE THE FOE,85.28,87.78,87.67,94.43,74.04,75.42,91.31,49.09,medium,0,9,2
Space Marines,20,combination,RECLAMATION FORCE + SUBVERSION ASSETS,Ultramarines + Space Marines,3,Ultramarines,DISRUPTION + TAKE AND HOLD,85.27,89.61,89.28,89.93,75.43,79.31,80.6,43.64,medium,0,11,6
Space Marines,21,combination,EMPEROR’S SHIELD + VENGEFUL HOSTS,Imperial Fists + Space Marines,3,Imperial Fists,PURGE THE FOE + TAKE AND HOLD,85.04,88.08,89.54,94.43,74.47,66.91,91.31,47.88,medium,1,12,4
Space Marines,22,combination,1ST COMPANY TASK FORCE + VENGEFUL HOSTS,Space Marines + Space Marines,3,,PURGE THE FOE + TAKE AND HOLD,85.03,88.43,90.12,94.43,74.83,63.06,93.11,47.88,medium,1,12,4
Space Marines,23,single,VENGEFUL HOSTS,Space Marines,1,,TAKE AND HOLD,84.81,88.32,87.97,94.43,73.3,70.42,91.31,46.67,medium,1,3,2
Space Marines,24,single,SPEARPOINT TASK FORCE,White Scars,2,White Scars,DISRUPTION,84.77,88.23,87.94,94.43,62.88,91.11,91.31,43.64,medium,0,8,3
Space Marines,25,single,BASTION TASK FORCE,Space Marines,2,,TAKE AND HOLD,84.76,87.85,87.94,94.43,79.58,58.4,91.31,27.27,low,0,5,6
Space Marines,26,combination,IRONSTORM SPEARHEAD + SUBVERSION ASSETS,Space Marines + Space Marines,3,,DISRUPTION + TAKE AND HOLD,84.56,89.55,89.04,89.93,76.55,70.69,80.6,49.09,medium,0,13,4
Space Marines,27,single,EMPEROR’S SHIELD,Imperial Fists,2,Imperial Fists,PURGE THE FOE,84.39,87.78,87.67,94.43,75.63,63.4,91.31,49.09,medium,0,9,2
Space Marines,28,combination,HEADHUNTER TASK FORCE + VENGEFUL HOSTS,Space Marines + Space Marines,3,,PRIORITY ASSETS + TAKE AND HOLD,84.27,88.93,90.08,94.43,64.82,75.53,91.31,36.97,low,1,8,8
Space Marines,29,single,1ST COMPANY TASK FORCE,Space Marines,2,,PURGE THE FOE,84.1,88.22,88.28,94.43,76.36,55.7,93.11,49.09,medium,0,9,2
Space Marines,30,single,CERAMITE SENTINELS,Space Marines,3,,TAKE AND HOLD,84.09,88.66,87.97,94.43,68.5,72.09,91.31,38.18,low,0,7,4
Space Marines,31,combination,ORBITAL ASSAULT FORCE + SUBVERSION ASSETS,Space Marines + Space Marines,3,,DISRUPTION + TAKE AND HOLD,84.02,87.92,87.76,89.93,73.33,78.13,80.6,43.64,medium,0,11,6
Space Marines,32,combination,ANVIL SIEGE FORCE + SUBVERSION ASSETS,Space Marines + Space Marines,3,,DISRUPTION + TAKE AND HOLD,83.97,89.55,89.04,89.93,76.24,65.32,80.6,46.36,medium,0,12,5
Space Marines,33,combination,HAMMER OF AVERNII + SUBVERSION ASSETS,Iron Hands + Space Marines,3,Iron Hands,DISRUPTION + PURGE THE FOE,83.61,88.68,88.45,89.93,74.81,67.78,80.6,54.55,medium,0,15,2
Space Marines,34,combination,FIRESTORM ASSAULT FORCE + SUBVERSION ASSETS,Space Marines + Space Marines,3,,DISRUPTION + PRIORITY ASSETS,83.54,84.12,88.45,89.93,76.62,72.68,80.6,53.64,medium,1,13,3
Space Marines,35,combination,SHADOWMARK TALON + VENGEFUL HOSTS,Raven Guard + Space Marines,3,Raven Guard,DISRUPTION + TAKE AND HOLD,83.48,88.82,90.08,94.43,63.37,70.77,91.31,45.16,medium,1,11,5
Space Marines,36,combination,SPEARPOINT TASK FORCE + SUBVERSION ASSETS,White Scars + Space Marines,3,White Scars,DISRUPTION,83.44,89.22,88.66,89.93,69.23,75.63,80.6,51.82,medium,0,14,3
Space Marines,37,combination,FORGEFATHER’S SEEKERS + FULGURIS TASK FORCE,Salamanders + Space Marines,3,Salamanders,PRIORITY ASSETS + RECONNAISSANCE,83.41,86.81,88.45,94.43,77.77,49.31,91.31,28.64,low,1,8,8
Space Marines,38,combination,VANGUARD SPEARHEAD + VENGEFUL HOSTS,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,83.4,89.14,89.54,94.43,64.32,68.72,91.31,47.88,medium,1,12,4
Space Marines,39,combination,BASTION TASK FORCE + SUBVERSION ASSETS,Space Marines + Space Marines,3,,DISRUPTION + TAKE AND HOLD,83.39,88.8,88.66,89.93,77.58,59.27,80.6,43.64,medium,0,11,6
Space Marines,40,single,STORMLANCE TASK FORCE,Space Marines,3,,DISRUPTION,83.35,88.15,87.67,94.43,58.61,86.25,91.31,43.64,medium,0,8,3
Space Marines,41,combination,SUBVERSION ASSETS + VENGEFUL HOSTS,Space Marines + Space Marines,2,,DISRUPTION + TAKE AND HOLD,83.3,88.05,89.04,89.93,74.44,65.28,80.6,53.34,medium,1,9,2
Space Marines,42,single,ARMOURED SPEARTIP,Space Marines,3,,TAKE AND HOLD,83.2,87.8,87.67,94.43,58.75,85.21,91.31,43.64,medium,0,8,3
Space Marines,43,combination,FULGURIS TASK FORCE + RECLAMATION FORCE,Space Marines + Ultramarines,3,Ultramarines,RECONNAISSANCE + TAKE AND HOLD,83.19,89.61,89.04,94.43,73.15,49.24,91.31,18.63,low,0,6,11
Space Marines,44,combination,1ST COMPANY TASK FORCE + SUBVERSION ASSETS,Space Marines + Space Marines,3,,DISRUPTION + PURGE THE FOE,83.16,89.07,89.03,89.93,75.97,57.92,82.4,54.55,medium,0,15,2
Space Marines,45,combination,EMPEROR’S SHIELD + SUBVERSION ASSETS,Imperial Fists + Space Marines,3,Imperial Fists,DISRUPTION + PURGE THE FOE,83.16,88.68,88.45,89.93,75.61,61.77,80.6,54.55,medium,0,15,2
Space Marines,46,single,HEADHUNTER TASK FORCE,Space Marines,2,,PRIORITY ASSETS,82.49,88.6,87.94,94.43,56.34,80.63,91.31,27.27,low,0,5,6
Space Marines,47,combination,FULGURIS TASK FORCE + IRONSTORM SPEARHEAD,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,82.47,89.53,88.77,94.43,74.27,40.63,91.31,24.09,low,0,8,9
Space Marines,48,combination,HEADHUNTER TASK FORCE + SUBVERSION ASSETS,Space Marines + Space Marines,3,,DISRUPTION + PRIORITY ASSETS,82.42,90.05,88.66,89.93,65.96,70.38,80.6,43.64,medium,0,11,6
Space Marines,49,combination,FULGURIS TASK FORCE + ORBITAL ASSAULT FORCE,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,81.94,87.93,87.55,94.43,71.04,48.06,91.31,18.63,low,0,6,11
Space Marines,50,combination,ANVIL SIEGE FORCE + FULGURIS TASK FORCE,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,81.87,89.53,88.77,94.43,73.96,35.24,91.31,21.37,low,0,7,10
Space Marines,51,combination,FULGURIS TASK FORCE + SUBVERSION ASSETS + VENGEFUL HOSTS,Space Marines + Space Marines + Space Marines,3,,DISRUPTION + RECONNAISSANCE + TAKE AND HOLD,81.71,89.05,89.56,91.43,73.3,43.52,84.17,38.89,low,1,10,7
Space Marines,52,combination,FULGURIS TASK FORCE + HAMMER OF AVERNII,Space Marines + Iron Hands,3,Iron Hands,PURGE THE FOE + RECONNAISSANCE,81.51,88.7,88.18,94.43,72.53,37.71,91.31,29.55,low,0,10,7
Space Marines,53,combination,SHADOWMARK TALON + SUBVERSION ASSETS,Raven Guard + Space Marines,3,Raven Guard,DISRUPTION,81.49,89.22,88.66,89.93,64.51,65.63,80.6,51.82,medium,0,14,3
Space Marines,54,combination,SUBVERSION ASSETS + VANGUARD SPEARHEAD,Space Marines + Space Marines,3,,DISRUPTION + RECONNAISSANCE,81.45,89.35,88.45,89.93,65.46,63.58,80.6,54.55,medium,0,15,2
Space Marines,55,combination,FIRESTORM ASSAULT FORCE + FULGURIS TASK FORCE,Space Marines + Space Marines,3,,PRIORITY ASSETS + RECONNAISSANCE,81.43,84,88.18,94.43,74.34,42.61,91.31,28.64,low,1,8,8
Space Marines,56,combination,FULGURIS TASK FORCE + SPEARPOINT TASK FORCE,Space Marines + White Scars,3,White Scars,DISRUPTION + RECONNAISSANCE,81.38,89.35,88.45,94.43,66.95,45.56,91.31,26.82,low,0,9,8
Space Marines,57,combination,BASTION TASK FORCE + FULGURIS TASK FORCE,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,81.31,88.81,88.45,94.43,75.3,29.2,91.31,18.63,low,0,6,11
Space Marines,58,combination,FULGURIS TASK FORCE + VENGEFUL HOSTS,Space Marines + Space Marines,2,,RECONNAISSANCE + TAKE AND HOLD,81.27,88.38,88.77,94.43,72.16,35.21,91.31,28.34,low,1,4,7
Space Marines,59,combination,1ST COMPANY TASK FORCE + FULGURIS TASK FORCE,Space Marines + Space Marines,3,,PURGE THE FOE + RECONNAISSANCE,81.09,89.09,88.82,94.43,73.69,27.85,93.11,29.55,low,0,10,7
Space Marines,60,combination,EMPEROR’S SHIELD + FULGURIS TASK FORCE,Imperial Fists + Space Marines,3,Imperial Fists,PURGE THE FOE + RECONNAISSANCE,81.07,88.7,88.18,94.43,73.32,31.7,91.31,29.55,low,0,10,7
Space Marines,61,single,SHADOWMARK TALON,Raven Guard,2,Raven Guard,DISRUPTION,80.88,88.23,87.94,94.43,53.43,71.11,91.31,43.64,medium,0,8,3
Space Marines,62,single,SUBVERSION ASSETS,Space Marines,1,,DISRUPTION,80.85,87.16,86.83,85.43,75.58,60.14,69.88,60,medium,0,6,0
Space Marines,63,single,VANGUARD SPEARHEAD,Space Marines,2,,RECONNAISSANCE,80.79,88.26,87.67,94.43,55.34,67.01,91.31,49.09,medium,0,9,2
Space Marines,64,combination,FULGURIS TASK FORCE + HEADHUNTER TASK FORCE,Space Marines + Space Marines,3,,PRIORITY ASSETS + RECONNAISSANCE,80.32,89.94,88.45,94.43,63.68,40.32,91.31,18.63,low,0,6,11
Space Marines,65,combination,FULGURIS TASK FORCE + SHADOWMARK TALON,Space Marines + Raven Guard,3,Raven Guard,DISRUPTION + RECONNAISSANCE,79.44,89.35,88.45,94.43,62.22,35.56,91.31,26.82,low,0,9,8
Space Marines,66,combination,FULGURIS TASK FORCE + VANGUARD SPEARHEAD,Space Marines + Space Marines,3,,RECONNAISSANCE,79.41,89.62,88.18,94.43,63.17,33.51,91.31,29.55,low,0,10,7
Space Marines,67,combination,FULGURIS TASK FORCE + SUBVERSION ASSETS,Space Marines + Space Marines,2,,DISRUPTION + RECONNAISSANCE,79.19,88.39,87.33,89.93,73.3,30.07,80.6,35,low,0,7,5
Space Marines,68,combination,FORGEFATHER’S SEEKERS + LIBRARIUS CONCLAVE,Salamanders + Space Marines,3,Salamanders,PRIORITY ASSETS + RECONNAISSANCE,79.02,85.8,88.32,85.43,53.49,80.31,79.31,53.64,medium,1,13,3
Space Marines,69,combination,LIBRARIUS CONCLAVE + RECLAMATION FORCE,Space Marines + Ultramarines,3,Ultramarines,RECONNAISSANCE + TAKE AND HOLD,78.85,88.84,88.94,85.43,48.87,80.24,79.31,43.64,medium,0,11,6
Space Marines,70,combination,LIBRARIUS CONCLAVE + SUBVERSION ASSETS + VENGEFUL HOSTS,Space Marines + Space Marines + Space Marines,3,,DISRUPTION + RECONNAISSANCE + TAKE AND HOLD,78.75,88.31,89.42,85.43,57.11,64.19,76.17,55.56,medium,1,15,2
Space Marines,71,combination,IRONSTORM SPEARHEAD + LIBRARIUS CONCLAVE,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,78.05,88.76,88.36,85.43,49.99,71.63,79.31,49.09,medium,0,13,4
Space Marines,72,combination,LIBRARIUS CONCLAVE + ORBITAL ASSAULT FORCE,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,77.59,87.16,87.41,85.43,46.76,79.06,79.31,43.64,medium,0,11,6
Space Marines,73,combination,ANVIL SIEGE FORCE + LIBRARIUS CONCLAVE,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,77.45,88.76,88.36,85.43,49.68,66.25,79.31,46.36,medium,0,12,5
Space Marines,74,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE + VENGEFUL HOSTS,Space Marines + Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,77.38,88.52,89.15,88.43,55.59,44.14,83.31,38.89,low,1,10,7
Space Marines,75,combination,HAMMER OF AVERNII + LIBRARIUS CONCLAVE,Iron Hands + Space Marines,3,Iron Hands,PURGE THE FOE + RECONNAISSANCE,77.21,88.12,88.06,85.43,48.25,68.71,79.31,54.55,medium,0,15,2
Space Marines,76,combination,LIBRARIUS CONCLAVE + SPEARPOINT TASK FORCE,Space Marines + White Scars,3,White Scars,DISRUPTION + RECONNAISSANCE,77.04,88.58,88.32,85.43,42.67,76.56,79.31,51.82,medium,0,14,3
Space Marines,77,combination,FIRESTORM ASSAULT FORCE + LIBRARIUS CONCLAVE,Space Marines + Space Marines,3,,PRIORITY ASSETS + RECONNAISSANCE,77,82.83,88.06,85.43,50.06,73.6,79.31,53.64,medium,1,13,3
Space Marines,78,combination,BASTION TASK FORCE + LIBRARIUS CONCLAVE,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,76.96,88.04,88.32,85.43,51.02,60.2,79.31,43.64,medium,0,11,6
Space Marines,79,combination,LIBRARIUS CONCLAVE + VENGEFUL HOSTS,Space Marines + Space Marines,2,,RECONNAISSANCE + TAKE AND HOLD,76.87,87.64,88.36,85.43,47.88,66.21,79.31,53.34,medium,1,9,2
Space Marines,80,single,FULGURIS TASK FORCE,Space Marines,1,,RECONNAISSANCE,76.83,87.57,86.63,94.43,71.01,0,91.31,10,low,0,1,5
Space Marines,81,combination,1ST COMPANY TASK FORCE + LIBRARIUS CONCLAVE,Space Marines + Space Marines,3,,PURGE THE FOE + RECONNAISSANCE,76.77,88.5,88.66,85.43,49.41,58.85,81.11,54.55,medium,0,15,2
Space Marines,82,combination,EMPEROR’S SHIELD + LIBRARIUS CONCLAVE,Imperial Fists + Space Marines,3,Imperial Fists,PURGE THE FOE + RECONNAISSANCE,76.77,88.12,88.06,85.43,49.04,62.7,79.31,54.55,medium,0,15,2
Space Marines,83,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE + SUBVERSION ASSETS,Space Marines + Space Marines + Space Marines,3,,DISRUPTION + RECONNAISSANCE,75.93,88.76,87.76,85.43,56.35,40.71,76.17,43.33,medium,0,13,5
Space Marines,84,combination,HEADHUNTER TASK FORCE + LIBRARIUS CONCLAVE,Space Marines + Space Marines,3,,PRIORITY ASSETS + RECONNAISSANCE,75.87,88.65,88.32,85.43,39.4,71.32,79.31,43.64,medium,0,11,6
Space Marines,85,combination,LIBRARIUS CONCLAVE + SHADOWMARK TALON,Space Marines + Raven Guard,3,Raven Guard,DISRUPTION + RECONNAISSANCE,75.09,88.58,88.32,85.43,37.94,66.56,79.31,51.82,medium,0,14,3
Space Marines,86,combination,LIBRARIUS CONCLAVE + VANGUARD SPEARHEAD,Space Marines + Space Marines,3,,RECONNAISSANCE,74.97,88.36,88.06,85.43,38.9,64.51,79.31,54.55,medium,0,15,2
Space Marines,87,combination,LIBRARIUS CONCLAVE + SUBVERSION ASSETS,Space Marines + Space Marines,2,,DISRUPTION + RECONNAISSANCE,74.88,87.7,87.24,80.93,49.02,61.07,68.6,60,medium,0,12,0
Space Marines,88,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE,Space Marines + Space Marines,2,,RECONNAISSANCE,72.8,87.73,87.03,85.43,46.74,31,79.31,35,low,0,7,5
Space Marines,89,single,LIBRARIUS CONCLAVE,Space Marines,1,,RECONNAISSANCE,68.25,86.37,86.53,76.43,22.46,62,67.31,60,medium,0,6,0
Salamanders,1,single,FORGEFATHER’S SEEKERS,Salamanders,2,Salamanders,PRIORITY ASSETS,89.27,85.56,87.69,94.78,84.38,98.48,91.2,47.27,medium,1,7,3
Salamanders,2,combination,FORGEFATHER’S SEEKERS + VENGEFUL HOSTS,Salamanders + Space Marines,3,Salamanders,PRIORITY ASSETS + TAKE AND HOLD,87.28,85.69,89.81,94.78,78.71,84.36,91.2,46.97,medium,2,10,5
Salamanders,3,single,IRONSTORM SPEARHEAD,Space Marines,2,,TAKE AND HOLD,86.93,88.44,87.65,94.78,77.46,83.18,91.2,38.18,low,0,7,4
Salamanders,4,combination,IRONSTORM SPEARHEAD + VENGEFUL HOSTS,Space Marines + Space Marines,3,,TAKE AND HOLD,86.66,90.35,89.42,94.78,75.25,76.71,91.2,42.43,medium,1,10,6
Salamanders,5,single,ORBITAL ASSAULT FORCE,Space Marines,2,,TAKE AND HOLD,86.31,86.71,86.79,94.78,71,95.6,91.2,27.27,low,0,5,6
Salamanders,6,combination,ORBITAL ASSAULT FORCE + VENGEFUL HOSTS,Space Marines + Space Marines,3,,TAKE AND HOLD,86.19,88.8,88.89,94.78,72.02,82.92,91.2,36.97,low,1,8,8
Salamanders,7,combination,ANVIL SIEGE FORCE + VENGEFUL HOSTS,Space Marines + Space Marines,3,,TAKE AND HOLD,85.95,90.35,89.42,94.78,74.9,70.27,91.2,39.7,low,1,9,7
Salamanders,8,single,FIRESTORM ASSAULT FORCE,Space Marines,2,,PRIORITY ASSETS,85.94,82.52,87.4,94.78,77.78,85.11,91.2,47.27,medium,1,7,3
Salamanders,9,combination,FIRESTORM ASSAULT FORCE + VENGEFUL HOSTS,Space Marines + Space Marines,3,,PRIORITY ASSETS + TAKE AND HOLD,85.65,84.92,89.21,94.78,75.41,77.67,91.2,46.97,medium,2,10,5
Salamanders,10,combination,BASTION TASK FORCE + VENGEFUL HOSTS,Space Marines + Space Marines,3,,TAKE AND HOLD,85.59,89.71,89.81,94.78,76.27,64.3,91.2,36.97,low,1,8,8
Salamanders,11,single,GLADIUS TASK FORCE,Space Marines,3,,PRIORITY ASSETS,85.53,88.27,87.69,94.78,69.73,84.96,91.2,32.73,low,0,6,5
Salamanders,12,single,ANVIL SIEGE FORCE,Space Marines,2,,TAKE AND HOLD,85.5,88.44,87.65,94.78,76.77,70.3,91.2,32.73,low,0,6,5
Salamanders,13,combination,FORGEFATHER’S SEEKERS + SUBVERSION ASSETS,Salamanders + Space Marines,3,Salamanders,DISRUPTION + PRIORITY ASSETS,85.43,86.73,88.42,90.28,79.59,79.81,80.49,53.64,medium,1,13,3
Salamanders,14,single,BASTION TASK FORCE,Space Marines,2,,TAKE AND HOLD,84.7,87.63,87.69,94.78,79.49,58.37,91.2,27.27,low,0,5,6
Salamanders,15,single,VENGEFUL HOSTS,Space Marines,1,,TAKE AND HOLD,84.68,88.08,87.65,94.78,73.04,70.23,91.2,46.67,medium,1,3,2
Salamanders,16,combination,IRONSTORM SPEARHEAD + SUBVERSION ASSETS,Space Marines + Space Marines,3,,DISRUPTION + TAKE AND HOLD,84.58,89.32,88.77,90.28,76.13,72.16,80.49,49.09,medium,0,13,4
Salamanders,17,combination,1ST COMPANY TASK FORCE + VENGEFUL HOSTS,Space Marines + Space Marines,3,,PURGE THE FOE + TAKE AND HOLD,84.45,88.24,89.79,94.78,72.87,61.69,93,47.88,medium,1,12,4
Salamanders,18,combination,HEADHUNTER TASK FORCE + VENGEFUL HOSTS,Space Marines + Space Marines,3,,PRIORITY ASSETS + TAKE AND HOLD,84.2,88.69,89.81,94.78,64.66,75.63,91.2,36.97,low,1,8,8
Salamanders,19,single,CERAMITE SENTINELS,Space Marines,3,,TAKE AND HOLD,84.01,88.44,87.65,94.78,68.43,72.04,91.2,38.18,low,0,7,4
Salamanders,20,combination,ORBITAL ASSAULT FORCE + SUBVERSION ASSETS,Space Marines + Space Marines,3,,DISRUPTION + TAKE AND HOLD,83.91,87.69,87.52,90.28,72.9,78.37,80.49,43.64,medium,0,11,6
Salamanders,21,combination,ANVIL SIEGE FORCE + SUBVERSION ASSETS,Space Marines + Space Marines,3,,DISRUPTION + TAKE AND HOLD,83.87,89.32,88.77,90.28,75.78,65.72,80.49,46.36,medium,0,12,5
Salamanders,22,combination,FIRESTORM ASSAULT FORCE + SUBVERSION ASSETS,Space Marines + Space Marines,3,,DISRUPTION + PRIORITY ASSETS,83.47,83.85,88.21,90.28,76.29,73.13,80.49,53.64,medium,1,13,3
Salamanders,23,combination,FORGEFATHER’S SEEKERS + FULGURIS TASK FORCE,Salamanders + Space Marines,3,Salamanders,PRIORITY ASSETS + RECONNAISSANCE,83.34,86.55,88.21,94.78,77.66,49.24,91.2,28.64,low,1,8,8
Salamanders,24,combination,BASTION TASK FORCE + SUBVERSION ASSETS,Space Marines + Space Marines,3,,DISRUPTION + TAKE AND HOLD,83.3,88.57,88.42,90.28,77.15,59.76,80.49,43.64,medium,0,11,6
Salamanders,25,single,STORMLANCE TASK FORCE,Space Marines,3,,DISRUPTION,83.29,87.91,87.4,94.78,58.55,86.29,91.2,43.64,medium,0,8,3
Salamanders,26,combination,VANGUARD SPEARHEAD + VENGEFUL HOSTS,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,83.27,88.91,89.21,94.78,64.12,68.45,91.2,47.88,medium,1,12,4
Salamanders,27,combination,SUBVERSION ASSETS + VENGEFUL HOSTS,Space Marines + Space Marines,2,,DISRUPTION + TAKE AND HOLD,83.19,87.83,88.77,90.28,73.92,65.69,80.49,53.34,medium,1,9,2
Salamanders,28,single,1ST COMPANY TASK FORCE,Space Marines,2,,PURGE THE FOE,83.07,88.04,88.02,94.78,72.7,53.14,93,49.09,medium,0,9,2
Salamanders,29,single,ARMOURED SPEARTIP,Space Marines,3,,TAKE AND HOLD,83,87.57,87.4,94.78,58.59,84.05,91.2,43.64,medium,0,8,3
Salamanders,30,combination,1ST COMPANY TASK FORCE + SUBVERSION ASSETS,Space Marines + Space Marines,3,,DISRUPTION + PURGE THE FOE,82.61,88.86,88.79,90.28,73.75,57.14,82.29,54.55,medium,0,15,2
Salamanders,31,combination,FULGURIS TASK FORCE + IRONSTORM SPEARHEAD,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,82.5,89.29,88.5,94.78,74.2,41.59,91.2,24.09,low,0,8,9
Salamanders,32,single,HEADHUNTER TASK FORCE,Space Marines,2,,PRIORITY ASSETS,82.45,88.27,87.69,94.78,56.28,81.02,91.2,27.27,low,0,5,6
Salamanders,33,combination,HEADHUNTER TASK FORCE + SUBVERSION ASSETS,Space Marines + Space Marines,3,,DISRUPTION + PRIORITY ASSETS,82.35,89.75,88.42,90.28,65.54,71.08,80.49,43.64,medium,0,11,6
Salamanders,34,combination,FULGURIS TASK FORCE + ORBITAL ASSAULT FORCE,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,81.86,87.69,87.31,94.78,70.97,47.8,91.2,18.63,low,0,6,11
Salamanders,35,combination,ANVIL SIEGE FORCE + FULGURIS TASK FORCE,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,81.79,89.29,88.5,94.78,73.86,35.15,91.2,21.37,low,0,7,10
Salamanders,36,combination,FULGURIS TASK FORCE + SUBVERSION ASSETS + VENGEFUL HOSTS,Space Marines + Space Marines + Space Marines,3,,DISRUPTION + RECONNAISSANCE + TAKE AND HOLD,81.61,88.82,89.29,91.78,72.93,43.79,84.06,38.89,low,1,10,7
Salamanders,37,combination,FIRESTORM ASSAULT FORCE + FULGURIS TASK FORCE,Space Marines + Space Marines,3,,PRIORITY ASSETS + RECONNAISSANCE,81.37,83.72,87.91,94.78,74.36,42.56,91.2,28.64,low,1,8,8
